NAME         PROPERTY                VALUE                   SOURCE
rpool        type                    filesystem              -
rpool        creation                Wed Apr 15 21:46 2026   -
rpool        used                    46.8G                   -
rpool        available               852G                    -
rpool        referenced              104K                    -
rpool        compressratio           1.28x                   -
rpool        mounted                 yes                     -
rpool        quota                   none                    default
rpool        reservation             none                    default
rpool        recordsize              128K                    default
rpool        mountpoint              /rpool                  default
rpool        sharenfs                off                     default
rpool        checksum                on                      default
rpool        compression             lz4                     local
rpool        atime                   on                      local
rpool        devices                 on                      default
rpool        exec                    on                      default
rpool        setuid                  on                      default
rpool        readonly                off                     default
rpool        zoned                   off                     default
rpool        snapdir                 hidden                  default
rpool        aclmode                 discard                 default
rpool        aclinherit              restricted              default
rpool        createtxg               1                       -
rpool        canmount                on                      default
rpool        xattr                   sa                      default
rpool        copies                  1                       default
rpool        version                 5                       -
rpool        utf8only                off                     -
rpool        normalization           none                    -
rpool        casesensitivity         sensitive               -
rpool        vscan                   off                     default
rpool        nbmand                  off                     default
rpool        sharesmb                off                     default
rpool        refquota                none                    default
rpool        refreservation          none                    default
rpool        guid                    16604788432496990131    -
rpool        primarycache            all                     default
rpool        secondarycache          all                     default
rpool        usedbysnapshots         0B                      -
rpool        usedbydataset           104K                    -
rpool        usedbychildren          46.8G                   -
rpool        usedbyrefreservation    0B                      -
rpool        logbias                 latency                 default
rpool        objsetid                54                      -
rpool        dedup                   off                     default
rpool        mlslabel                none                    default
rpool        sync                    standard                local
rpool        dnodesize               legacy                  default
rpool        refcompressratio        1.00x                   -
rpool        written                 104K                    -
rpool        logicalused             48.3G                   -
rpool        logicalreferenced       46K                     -
rpool        volmode                 default                 default
rpool        filesystem_limit        none                    default
rpool        snapshot_limit          none                    default
rpool        filesystem_count        none                    default
rpool        snapshot_count          none                    default
rpool        snapdev                 hidden                  default
rpool        acltype                 off                     default
rpool        context                 none                    default
rpool        fscontext               none                    default
rpool        defcontext              none                    default
rpool        rootcontext             none                    default
rpool        relatime                on                      local
rpool        redundant_metadata      all                     default
rpool        overlay                 on                      default
rpool        encryption              off                     default
rpool        keylocation             none                    default
rpool        keyformat               none                    default
rpool        pbkdf2iters             0                       default
rpool        special_small_blocks    0                       default
rpool        prefetch                all                     default
rpool        direct                  standard                default
rpool        longname                off                     default
rpool        defaultuserquota        0                       -
rpool        defaultgroupquota       0                       -
rpool        defaultprojectquota     0                       -
rpool        defaultuserobjquota     0                       -
rpool        defaultgroupobjquota    0                       -
rpool        defaultprojectobjquota  0                       -
shared-pool  type                    filesystem              -
shared-pool  creation                Wed Apr 15 23:09 2026   -
shared-pool  used                    355G                    -
shared-pool  available               544G                    -
shared-pool  referenced              96K                     -
shared-pool  compressratio           1.00x                   -
shared-pool  mounted                 yes                     -
shared-pool  quota                   none                    default
shared-pool  reservation             none                    default
shared-pool  recordsize              128K                    default
shared-pool  mountpoint              /shared-pool            default
shared-pool  sharenfs                off                     default
shared-pool  checksum                on                      default
shared-pool  compression             lz4                     local
shared-pool  atime                   on                      default
shared-pool  devices                 on                      default
shared-pool  exec                    on                      default
shared-pool  setuid                  on                      default
shared-pool  readonly                off                     default
shared-pool  zoned                   off                     default
shared-pool  snapdir                 hidden                  default
shared-pool  aclmode                 discard                 default
shared-pool  aclinherit              restricted              default
shared-pool  createtxg               1                       -
shared-pool  canmount                on                      default
shared-pool  xattr                   sa                      default
shared-pool  copies                  1                       default
shared-pool  version                 5                       -
shared-pool  utf8only                off                     -
shared-pool  normalization           none                    -
shared-pool  casesensitivity         sensitive               -
shared-pool  vscan                   off                     default
shared-pool  nbmand                  off                     default
shared-pool  sharesmb                off                     default
shared-pool  refquota                none                    default
shared-pool  refreservation          none                    default
shared-pool  guid                    14850992237921761350    -
shared-pool  primarycache            all                     default
shared-pool  secondarycache          all                     default
shared-pool  usedbysnapshots         0B                      -
shared-pool  usedbydataset           96K                     -
shared-pool  usedbychildren          355G                    -
shared-pool  usedbyrefreservation    0B                      -
shared-pool  logbias                 latency                 default
shared-pool  objsetid                54                      -
shared-pool  dedup                   off                     default
shared-pool  mlslabel                none                    default
shared-pool  sync                    standard                default
shared-pool  dnodesize               legacy                  default
shared-pool  refcompressratio        1.00x                   -
shared-pool  written                 96K                     -
shared-pool  logicalused             357G                    -
shared-pool  logicalreferenced       42.5K                   -
shared-pool  volmode                 default                 default
shared-pool  filesystem_limit        none                    default
shared-pool  snapshot_limit          none                    default
shared-pool  filesystem_count        none                    default
shared-pool  snapshot_count          none                    default
shared-pool  snapdev                 hidden                  default
shared-pool  acltype                 off                     default
shared-pool  context                 none                    default
shared-pool  fscontext               none                    default
shared-pool  defcontext              none                    default
shared-pool  rootcontext             none                    default
shared-pool  relatime                on                      default
shared-pool  redundant_metadata      all                     default
shared-pool  overlay                 on                      default
shared-pool  encryption              off                     default
shared-pool  keylocation             none                    default
shared-pool  keyformat               none                    default
shared-pool  pbkdf2iters             0                       default
shared-pool  special_small_blocks    0                       default
shared-pool  prefetch                all                     default
shared-pool  direct                  standard                default
shared-pool  longname                off                     default
shared-pool  defaultuserquota        0                       -
shared-pool  defaultgroupquota       0                       -
shared-pool  defaultprojectquota     0                       -
shared-pool  defaultuserobjquota     0                       -
shared-pool  defaultgroupobjquota    0                       -
shared-pool  defaultprojectobjquota  0                       -
