iteration,timestamp_utc,rss_kb,docker_mem_mb
1,12:14:57,1509052,1.417GiB
2,12:15:28,1511016,1.419GiB
3,12:15:59,1511556,1.419GiB
4,12:16:30,1515712,1.427GiB
5,12:17:01,1517884,1.426GiB
6,12:17:32,1518488,1.426GiB
7,12:18:03,1408876,1.321GiB
8,12:18:34,1409260,1.321GiB
9,12:19:05,1294756,1.211GiB
10,12:19:36,1295052,1.211GiB
11,12:20:07,1295068,1.211GiB
12,12:20:38,1295320,1.211GiB
13,12:21:09,1295388,1.211GiB
14,12:21:40,1295404,1.211GiB
15,12:22:11,1295552,1.211GiB
16,12:22:42,1295568,1.212GiB
17,12:23:13,1295780,1.212GiB
18,12:23:45,1295844,1.212GiB
19,12:24:16,1295864,1.212GiB
20,12:24:47,1295896,1.212GiB
21,12:25:18,1295928,1.212GiB
22,12:25:49,1295932,1.212GiB
23,12:26:20,1295988,1.212GiB
24,12:26:51,1296008,1.212GiB
25,12:27:22,1296036,1.212GiB
26,12:27:53,1296044,1.212GiB
27,12:28:24,1296052,1.212GiB
28,12:28:55,1296092,1.212GiB
29,12:29:26,1296096,1.212GiB
30,12:29:57,1296100,1.212GiB
